Product,Price,Description
Meiomi Pinot Noir, 15.97,"California- This beautiful Pinot Noir carries aromas of tobacco, dark red fruits and fresh berries. The rich cherry flavor is complemented by notes of cedar, raspberry and strawberry. Enjoy with turkey, salmon or beef dishes."
"Samuel Robert Winery Pinot Noir Vintner's Reserve Willamette, 2017", 15.99,"Willamette Valley, OR - Aromas of dark cherry and cinnamon will draw you into this beautifully handcrafted Pinot Noir. On the palate refreshing red fruits and light tannins..."
D'Autrefois Pinot Noir, 12.99,"Vin de Pays, France- Fantastic value in a complex Pinot Noir, from a winery with longstanding ties to Burgundy. An alluring bouquet of cherry and berry fruit is framed by subtle vanilla and spice notes. Ripe, crisp finish. A staff favorite! Enjoy with herb roasted or grilled chicken."
Kudos Pinot Noir Willamette, 17.99,"Willamette Valley, Oregon, US- Made from select vineyard sites, this is a handcrafted blend that celebrates the bounty of Oregon. This wine starts with the taste of bright cherry preserves followed by red plums, and ends with a complex and round finish. Enjoy with all kinds of food!"
Verada Pinot Noir Tri-County, 15.99,"Monterey, Sonoma, Santa Barbara, CA - This Pinot Noir has an excellent oak structure, rich, complex, and nuanced black currant and raspberry notes. The grapes are hand picked..."
"Domaine Loubejac Pinot Noir Willamette Valley, 2017", 19.99,"James Suckling-Willamette Valley, OR- ""Violets and herbal notes with strong, anise-scented spice aromas, across ripe red cherries. The palate has a plush and even shape with..."
Ropiteau Pinot Noir, 9.99,"Vin de France, France- Established in 1848, Ropiteau Freres has a long history of making great Pinot Noir. This super value is proof positive. Bright cherry and berry fruit is..."
TULI Pinot Noir Sonoma County, 26.99,"Sonoma County, CA- Fifth-generation Belle Glos Wines winemaker Joseph Wagner has crafted another stunning Pinot Noir. Aromas of cranberry, red apple, toasty cinnamon and vanilla hint at the flavors to come. On the palate bright fruit and light tannins round out the wine nicely. Vegan"
Angeline Pinot Noir California, 12.99,"California- A great value Pinot Noir from California, that tastes like Pinot! A blend of vineyards from Mendocino, Sonoma Coast, the Russian River Valley and Santa Barbara. The palate is full with flavors of strawberries, raspberries and cherry cola, finishing with tea and spice."
"Olema Pinot Noir Sonoma County, 2017", 19.99,"James Suckling-Sonoma County, California - ""Plenty of red fruit with dried strawberries, as well as decadent meat and hints of earth. Medium body and firm, silky tannins that..."
Cloud Break Pinot Noir, 8.99,California- The Cloud Break Pinot Noir has charming aromas of raspberry and strawberry with notes of vanilla. Oak-aging rounds out the wine and gives it body. Flavors of fresh...
D'Autrefois Reserve Pinot Noir, 16.99,"Vin de Pays, France- Oak aging gives this elegant Pinot Noir rich undertones of vanilla and spice, accenting classic notes of cherry and cassis. The ""big brother"" of our most..."
Iter Pinot Noir California, 14.99,California- Rich and dark fruit flavors give a decant and smooth feel to this intense Pinot. A healthy amount of oak aging provides balance to the ripe fruit flavors. The smooth finish is perfect for this great example of California Pinot Noir.
"Angeline Pinot Noir Reserve, 2017", 17.49,"James Suckling-Mendocino County, California- ""Fresh and clean with strawberries and hints of orange peel. Medium body. Crisp and vivid. Low impact and lovely delicacy here.""..."
River Road Pinot Noir Russian River Valley Reserve, 19.99,"Russian River Valley, Sonoma, CA- This Pinot Noir reflects the benefits of a cooler climate by exhibiting loads of elegance, with sweet cherry and plum flavors. Perfectly balanced refined fruit and soft tannins create a seductive, silky smooth wine."
Mark West Pinot Noir, 7.97,"California- One of California's most widely recognized Pinot Noirs, the Mark West possesses generous flavors of cherries, red berries, dark fruit, and a hint of baking spices...."
La Crema Pinot Noir Sonoma Coast, 16.97,"Sonoma, CA- Aromas of ripe cherry, cocoa, anise and rich baking spices. Plush flavors of cherry, plum and pomegranate meld with hints of delicate tea leaf. Structured, balanced acidity and elegant, firm tannins round out the mouth."
Magna Terra Pinot Noir California, 7.49,"California- Bright, juicy flavors of cherry, strawberry, and plum weave together in this silky medium-bodied Pinot Noir. The gentle, smooth finish deposits lovely notes of vanilla and spice. This radiant, refreshing wine is a terrific value."
Mirassou Pinot Noir, 6.97,"California- Produced in a bright, approachable style, this Pinot Noir offers lovely cherry and strawberry flavors with subtle layers of spice from the oak. Its a great food wine, so try with anything from salmon to beef dishes."
Elouan Pinot Noir Oregon, 19.99,"Oregon- The result of California winemaker, Joe Wagner venturing up to Oregon, one of the world's renowned Pinot Noir regions. Harmonious and elegant flavors of opulent plum,..."
"Belle Glos Pinot Noir Clark & Telephone, 2017", 49.99,"Santa Maria Valley, Santa Barbara, CA- Aromas of plum, brown spice turn to sweet caramel. Flavors extend on the bouquet, leading to cranberry, spice and blackberry. The firm..."
"Amici Pinot Noir Russian River Valley, 2017", 39.99,"Wine Advocate-Russian River Valley, Sonoma, CA- ""...black cherries, black raspberries and baking spices nose with black pepper, dried herbs and underbrush. The palate is medium to full-bodied, with plush texture and great fruitiness supporting the vibrant red and black cherries flavors..."""
Coelho Atracao Pinot Noir Willamette Valley, 24.99,"Willamette Valley, OR- This delicious Pinot offers alluring aromas of spice, cherries and toasty cedar. Its velvety texture is enhanced by flavors of cherry, cranberry, and chocolate. Vibrant and supple, this beauty offers a lovely smooth finish."
Grove Pinot Noir, 19.99,"Oregon- This Pinot Noir has aromas and flavors of black cherry, plum, and blackberry with a lingering finish of cherry. On the palate the rich fruit is still the focus of the..."
Erath Pinot Noir, 14.47,"Oregon - Fresh and lively, this Pinot Noir offers pretty berry flavors and subtle floral notes. Pairs well with different poultry dishes, medium cheeses, as well as pasta dishes."
Kudos Pinot Noir Yamhill-Carlton District Willamette Valley, 23.99,"Yamhill-Carlton, Willamette Valley, OR- Abounding with black cherry and raspberry fruit followed by complex white pepper, spice and rose petal aromas, this Pinot Noir is intense and vibrant."
Black Box Pinot Noir, 15.99,"California- Precipice Pinot Noir showcases the best of California. This wine is elegant and medium bodied, with luscious layers of red cherry and raspberry, complemented by complex spice notes and a smooth finish."
Precipice Pinot Noir, 16.99,"California- A great Pinot Noir that has floral aromas mixed with cherries and spice, followed by well-balanced flavors of raspberries, strawberries, and a hint of cocoa. Enjoy..."
Forever Vineyards Pinot Noir, 11.99,"Oregon- Fresh red fruits, with a floral note immediately jumps out from the nose. Dark ripe raspberries, spices, lavender, hints of oak and cassis emerge after the initial blast of fruit. Beautifully balanced with nice acidity and ripe tannins"
A to Z Pinot Noir, 15.99,"Russian River Valley, Sonoma, CA- Color is a brilliant ruby red which hints at the wine's appealing aromas of cherry, nutmeg, and cranberry. On the palate, the wine is velvety..."
Belle Glos Pinot Noir Dairyman Russian River Valley, 49.99,"Santa Lucia Highlands, Central Coast, CA- Belle Glos Las Alturas Pinot Noir possesses a broad texture, deep, sweet fruit, earthy, black raspberry, cherry, and red currant aromas, and beautiful purity as well as a seamless finish. Vegan"
"Belle Glos Pinot Noir Las Alturas, 2017", 49.99,"James Suckling-Sonoma Coast, CA- ""There's a pure subtlety to this pinot noir with ripe strawberries, lemons and light tar. Medium to full body, integrated and lightly chewy tannins and a savory finish."""
"Martin Ray Pinot Noir Sonoma, 2017",19.99,"California- This Pinot Noir presents aromas of ripe red fruit. The wine is medium-bodied with juicy flavors of raspberry and cherry, finishing with a hint of oak. Keep it simple, go after the Low Hanging Fruit."
Low Hanging Fruit Pinot Noir, 8.99,"Willamette Valley, Oregon- This silky fruit-forward, medium-bodied wine features aromas of raspberries and florals followed by flavors of black cherry and spice. This wine is..."
Corvallis Cellars Pinot Noir Willamette Valley, 13.99,"Italy- This silky smooth Pinot Noir has prominent fruit flavors of red berries and cherries. Medium-bodied with soft tannins, this pleasant wine is the perfect accompaniment..."
Le Colline Pinot Noir, 9.99,"Vin de Pays, France- Fantastic value in a complex Pinot Noir, from a winery with longstanding ties to Burgundy. An alluring bouquet of cherry and berry fruit is framed by subtle vanilla and spice notes. Ripe, crisp finish. A staff favorite! Enjoy with herb roasted or grilled chicken."
D'Autrefois Pinot Noir, 21.99,"California- A bold and expressive Pinot Noir offering bright, ripe cherries and deep earthy flavors with spice, subtle oak and delicate texture. Pairs well with salmon and turkey."
Josh Cellars Pinot Noir, 13.49,"Wine Enthusiast -Russian River Valley, Sonoma County, CA ""This is an intensely minty, earthy and clove-spiced wine, soft and velvety in texture. It showsa rounded body that..."
"The Calling Pinot Noir RRV, 2016", 37.99,"California- This elegant, medium-bodied Pinot Noir offers flavors of dark cherry and raspberry with subtle hints of red plums and baking spices. Enjoy with pork tenderloin, grilled salmon or chicken."
Five Branches Pinot Noir, 7.99,"Oregon - Crafted by Joe Wagner, flavors of strawberry, cherry and cassis, with hints of baking spices create a wonderful texture and balanced complexity. Bright acidity leads..."
The Willametter Journal Pinot Noir Oregon, 29.99,"Willamette Valley, Oregon - This Pinot Noir is wonderfully concentrated, with flavors and aromas of black cherry cola, earth, and red fruit. The tannins are ripe and polished..."
Samuel Robert Pinot Noir Family Reserve, 18.99,"Sonoma County, CA- A joint effort from the Goldeneye and Migration Pinot Noir winemakers, Zach Rasmuson and Neil Bernardi. A fresh and youthful Pinot. The resulting wine offers bright red- fruit flavors of cherry, raspberry and cranberry, alongside hints of toasty oak."
Decoy By Duckhorn Pinot Noir, 17.97,"Monterey, Central Coast, CA- Offers up vibrant red cherry, spice, and coffee aromas that lead to rich, brambly fruit flavors. This medium bodied Pinot Noir finishes soft with..."
La Crema Pinot Noir Monterey, 15.79,"California - SMOOTH, SMOOTH, and SMOOTH! This fresh Pinot Noir is soft as silk. A great crowd pleaser for when you need impress the friends. The soft flavors of strawberry, spice, and fresh herbs keep this classic California Pinot Noir interesting."
Bota Box Pinot Noir, 14.99,California- This light-bodied Pinot Noir provides bright red fruit flavors balanced with sweet notes of vanilla and spice. Its smoothness and drinkability is perfect for a variety of dishes.
Big Sipper Pinot Noir, 13.99,"Willamette Valley, Oregon - Aromas of red berry, vanilla cream, cedar and light spice deliver a vibrant palate with notes of red berry fruit, raspberry with a soft, lingering..."
Firebrand Pinot Noir, 9.99,"Willamette Valley, OR- The pleasing cherry, strawberry, and floral aromas traslate easily to the fruit driven palate with the addition of oak structure. A touch of balanced earthy Willamette Valley terroir shows through on the finish."
Dagger Leaf Pinot Noir Willamette Valley, 17.99,"Oregon- A Reserve offering from the popular Josh Cellars! This elegant Pinot Noir showcases flavors of strawberry, cherry, and pomegranate supported by soft tannins. Pair with..."
Dom Loubejac Pinot Noir Barriques Willamette Valley, 23.99,"Willamette Valley, Oregon - Aromas of deep, dark blackberries and plums jump out of the glass. Flavors of rich dark berry fruits of blackberry, raspberry and blueberry are structured by nutty notes. Showing off the full expression of the grapes, this Pinot Noir is sure to be a favorite."
Josh Cellars Pinot Noir Family Reserve Oregon, 18.99,"Wine Enthusiast -Anderson Valley, CA - ""This is a full-bodied, ripe and mouthfilling wine that offers generous black-plum and black-cherry flavors, a smooth texture and a lingering finish. The aroma is nicely spiced in new oak accents that meld well with the black fruits on the palate. """
Petites Secondes Pinot Noir Willamette, 29.99,"Wine Advocate-Sonoma, California- ""...Medium-bodied, delicately fruited and with beautifully pure cranberry and earth-inspired layers, it has a firm frame of grainy tannins and seamless freshness, finishing with an herbal lift."""
"Goldeneye Pinot Noir, 2015", 44.99,"California- This Pinot Noir has a bouquet of toasted cedar, black cherries, hints of orange blossom and honey with a round velvety mouthfeel. Smooth and well balanced, it's the perfect complement to any meal and your active lifestyle."
"Flowers Pinot Noir Sonoma Coast, 2016", 44.99,"Santa Lucia Highlands, Monterey, CA- Flavors and aromas of blackberries and raspberries with notes of black tea, rose petals and strawberry. Soft bounces of acidity and smooth..."
FitVine Pinot Noir, 17.99,"California - Aromas laced with crushed cherry, ripe strawberry, and spice. The initial mouth feel is lush and leads into a mid palate with excellent structure and balanced acidity. Deep red fruits dominate the clean and long finish. Vegan"
Game of Thrones Pinot Noir Oregon, 19.99,"California- A well-balanced wine with aromas of cherries and orange peels. This elegant wine is round on the palate, with flavors of berries and cocoa, and a touch of spicy,..."
Sextant Pinot Noir Santa Lucia Highlands, 24.99,"California- This Pinot Noir made by winemaker Joe Freeman has a wonderful balance of finesse and bright, harmonious notes of cherry, wild berry, plum, and spice. Shows depth..."
No Curfew Pinot Noir, 15.99,"Monterey, Central Coast, CA- Lovely black cherry and spice aromas lead to a lush palate of blackberry, pomegranate and red fruits. There is some definite weight to the yet the..."
Woodbridge Mondavi Pinot Noir, 9.47,"Wine Advocate-California- ""The pale to medium ruby-purple colored 2016 Pinot Noir Stephanie's Cuvee gives up notions of ripe raspberries, red currants and pomegranate with hints of roses, dusty soil and baking spices. The palate is medium to full-bodied with great vibrancy and freshness..."""
River Road Pinot Noir, 16.99,"Beverage Dynamics-Willamette Valley, Oregon- ""This dry rose is actually made from free-run juice from crushing whole clusters of pinot noir grapes. It delivers bright acidity..."
Hahn Pinot Noir, 11.99,"Languedoc Roussillon, Vin de France, France - Elegant and charming on the palate. It has lovely aromas of raspberries, blackcurrant and cherry. Complemented by hints of spice..."
"River Road Pinot Noir Stephanie's Russian River Valley, 2016", 29.99,"Wine Enthusiast -Willamette Valley, OR- ""Supple flavors of berry, plum and baked cherry spread broadly across the palate, with highlights of cocoa and tobacco. The finish is..."
"Willamette Valley Pinot Noir Whole Cluster Fermented, 2017", 21.99,"Carneros, CA- Aromas of strawberry, sweet smoky cranberries and mouth-watering flavors of pomegranate, red berries, and hints of baked vanilla custard. Pairs well with pork loin or on its own."
Cavalier & Sons Pinot Noir, 8.99,"Wine Spectator-Russian River, CA - ""A broad-shouldered youngster, ripe and loaded with zesty raspberry, blackberry, spice, floral and light oak flavors, this impresses in terms of focus, weight, persistence and size, showing room to age and gain."""
"La Crema Pinot Noir Willamette, 2016", 19.97,"Monterey, California- This medium-bodied Pinot Noir possesses luscious flavors of berries, baking spices, and cherries. The finish is soft and silky with no hard edges while..."
Baldacci Pinot Noir Elizabeth Carneros, 39.99,"A silky, smooth and spicy red wine with dark cherry and wild raspberry flavors."
"Sonoma Loeb Pinot Noir Dutton Ranch Russian River Valley, 2015", 39.99,"Arroyo Seco, Central Coast, CA- Attractive, smoky cherry and plum flavors pack this silky wine. New French and seasoned oak barrels add a velvety texture to the elegant refinement of this smooth Pinot Noir. Wonderful match with pork tenderloin."
Estancia Pinot Noir, 11.47,"South of France, France- An inviting bouquet leads to flavors of ripe bing cherry and blackberry framed in toast and vanilla. This light to medium-bodied wine seems to dance..."
Barefoot Cellars Pinot Noir, 8.47,"France- As elegant as a bouquet of violets and bursting with cherry flavors, this Pinot Noir is medium-bodied with soft tannins, to create a smooth, rich texture. Excellent..."
Bread & Butter Pinot Noir California, 14.29,"Wine Enthusiast -Central Coast, California- ""There's a decent serving of thyme and sagebrush on the nose of this affordable bottling alongside the piquant raspberry and cranberry fruit, with a touch of wet earth in the background. The decently weighted palate shows cranberry and more dried herbs..."""
Muirwood Pinot Noir, 19.99,"Russian River, Sonoma, CA- A gorgeous, aromatic symphony of ripe dark red cherry laced with a touch of tobacco and cola. A plush entry leads to rich, pure fruit flavors of plum and boysenberry in concert with underlying notes of truffle and forest floor. Smooth, oaky, silky finish."
Cavit Pinot Noir, 11.49,"Italy- Fresh, fruit-driven and crowd-pleasing, this supple Pinot Noir shows hints of fresh cherry and berry layered in a soft, easy-drinking style. The ripe aromas of plum and..."
Luc Pirlet Pinot Noir Reserve, 12.99,"Russian River, Sonoma, CA- An elegant wine with a complex nose of fresh fruit aromas of cherry, raspberry and cranberry followed by hints of white pepper, cola, and spicy, earthy notes. This wine offers crisp acidity with flavors of black cherry, raspberry and hints of vanilla."
Hob Nob Pinot Noir, 8.99,"Willamette Valley, OR- A medium ruby-colored with an enticing bouquet of toast, cinnamon, rose petal, cherry, and cranberry. Sweet and seamless on the palate, has a bit of structure and excellent concentration."
"Rock View Pinot Noir Reserve Monterey County, 2015", 18.99,"Russian River Valley, Sonoma, CA- This opens with aromas of black cherry and blackberry, with hints of cola and black licorice. The flavors center on dark lush fruit and spice..."
"Paul Hobbs Pinot Noir Russian River Valley, 2014", 64.99,"Dundee Hills, Oregon, US - ""Enticing, vibrant, it presents ripe pomegranate and cranberry on the palate, laced by an earthy spiciness. Ageing for over 10 months in French Oak..."
La Delizia Pinot Noir, 11.99,"Wine Enthusiast -Russian River Valley, CA- ""From a prime spot on Westside Road, this is an impressive wine. A baked bread aroma and a lush flavor of raspberry jam is framed by..."
J Vineyards Pinot Noir Russian River Valley, 35.99,"California- This Pinot Noir from Bogle represents some of the best varietal growing regions our state has to offer. Fruit from the cool confines of the Russian River Valley,..."
Argyle Pinot Noir, 21.99,"California- This wine has exceptionally dark color, which is not typical of the varietal. It exhibits explosive aromatics and impressive concentration, due in large part to the well-draining soils of our Monterey vineyards. Tannins are supple and the finish on this wine is lengthy."
Line 39 Pinot Noir, 8.99,"James Suckling-Willamette Valley, Oregon - ""A soft and silky pinot with beautiful dried strawberries, blueberries and hints of vanilla to close. Medium to full body, ultra-fine tannins and a fruity finish. This is all about subtlety and freshness. Drink now."""
La Crema Pinot Noir Russian River Valley, 34.99,"Santa Barbara, California - Fruit forward and balanced, this Pinot Noir is an excellent example of what Santa Barbara Pinots have to offer. Notes of cherry, pomegranate, vanilla and spice round out this medium bodied gem. Vegan"
Four Graces Pinot Noir Willamette, 19.97,"Central Coast, CA- Classic aromas from the cool micro-climates of the Central Coast, this wine showcases flavors of red cherry, cola and briar complemented by nuances of sweet..."
"Enroute Pinot Noir, 2015", 59.99,"South of France, France- Made in an easy-drinking style, this refreshing Pinot Noir comes from one of our favorite producers for value. Made without oak, the fruit is allowed..."
Bogle Pinot Noir California, 8.97,California - This elegant Pinot Noir has a rich garnet color. Wonderful aromas and flavors of cranberry and dark cherry are accompanied by a subtle hint of allspice and a long...
Coppola Diamond Pinot Noir, 12.97,"The Tasting Panel-Russian River Valley, CA- ""This Release shows what a spectacular vintage this was for the Russian River Valley...earth and candied rhubard engage with red licorice and raspberry jam... it shows bright, vivacious acidity and a cranberry-cherry-cola crossover kissed with spearmint."""
